Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard,Month_num,Date
2006,Qtr 2,May,14,Canada,Convair,Convair CV 580C,la ronge saskatchewan,Operations Air Northern Government Saskatchewan,0,1,3,5,2006-05-14
2006,Qtr 2,May,23,Unknown,De Havilland,de Havilland Canada DHC 6 Twin Otter 300S9,off são tomé islandair são tomé,Unknown,0,4,4,5,2006-05-23
2006,Qtr 2,June,3,China,KJ,KJ  2000,yaocun china,Force Air Chinese - Military,0,40,40,6,2006-06-03
2006,Qtr 2,June,11,Unknown,Lockheed,Lockheed C 130 HerculesTT,abéché chad,Force Air Chadian - Military,0,5,7,6,2006-06-11
2006,Qtr 2,June,21,Nepal,De Havilland,de Havilland Canada DHC 6 Twin Otter 3009N,jumla napal,Airlines Yeti,0,9,9,6,2006-06-21
2006,Qtr 3,July,7,Unknown,Antonov,Antonov AN 12B9Q,sake democratic,Airlines CongoMango Republic,0,5,5,7,2006-07-07
2006,Qtr 3,July,9,Unknown,Airbus,Airbus A 310,irkutsk russia,(S7) Sibir,0,125,203,7,2006-07-09
2006,Qtr 3,July,10,Unknown,Fokker,Fokker F 27 Friendship 200AP,multan pakistan,Airlines International Pakistan,0,45,45,7,2006-07-10
2006,Qtr 3,July,27,Unknown,Mil,Mil Mi 8,afghanistanafghan army,Unknown,0,17,17,7,2006-07-27
2006,Qtr 3,August,3,Unknown,Antonov,Antonov AN 289Q,bukavu democratic,CongoTracep Republic,0,17,17,8,2006-08-03
2006,Qtr 3,August,4,United States,Embraer,Embraer 110 BandeiranteN59BA,near pownal vermont,Air,0,1,1,8,2006-08-04
2006,Qtr 3,August,13,Unknown,Lockheed,Lockheed L 100,near piacenza italy,Algerie Air,0,3,3,8,2006-08-13
2006,Qtr 3,August,22,Unknown,Tupolev,Tupolev TU 154MRA,near donetsk ukraine,Airlines Pulkovo,0,170,170,8,2006-08-22
2006,Qtr 3,August,27,Unknown,Canadair,Canadair CRJ 200ERN431CA,lexington kentucky,Comair,0,49,50,8,2006-08-27
2006,Qtr 3,September,1,Unknown,Tupolev,Tupolev Tu 154MEP,mahad iran,Tours Air Iran,0,29,148,9,2006-09-01
2006,Qtr 3,September,2,Unknown,British Aerospace,British Aerospace Nimrod MR 2XV,near kandahar afghanistan,Force Air Royal - Military,0,14,14,9,2006-09-02
2006,Qtr 3,September,11,Unknown,Mil,Mi  8 helicopter,vladikavkaz russia,Army Russian - Military,0,12,15,9,2006-09-11
